date,BLM,Belarus,Lebanon
2020-07-07,6,5,0
2020-07-08,7,6,2
2020-07-09,4,3,2
2020-07-10,5,7,2
2020-07-11,4,5,3
2020-07-12,8,5,2
2020-07-13,5,3,6
2020-07-14,6,4,2
2020-07-15,7,4,4
2020-07-16,5,5,2
2020-07-17,3,6,7
2020-07-18,6,5,3
2020-07-19,3,7,0
2020-07-20,5,6,2
2020-07-21,2,9,2
2020-07-22,3,4,0
2020-07-23,5,6,2
2020-07-24,6,4,2
2020-07-25,10,4,0
2020-07-26,7,3,5
2020-07-27,5,9,2
2020-07-28,5,6,4
2020-07-29,9,4,4
2020-07-30,3,10,2
2020-07-31,2,6,5
2020-08-01,6,11,3
2020-08-02,8,8,3
2020-08-03,4,4,0
2020-08-04,4,4,82
2020-08-05,4,6,100
2020-08-06,6,12,35
2020-08-07,5,8,10
2020-08-08,3,8,8
2020-08-09,8,51,15
2020-08-10,3,63,8
2020-08-11,0,37,5
2020-08-12,3,31,4
2020-08-13,5,31,2
2020-08-14,7,29,2
2020-08-15,7,28,0
2020-08-16,4,48,3
2020-08-17,2,31,3
2020-08-18,4,29,3
2020-08-19,5,26,6
2020-08-20,7,19,7
2020-08-21,2,18,5
2020-08-22,5,15,3
2020-08-23,7,27,2
2020-08-24,4,9,2
2020-08-25,4,10,2
2020-08-26,6,11,2
2020-08-27,6,6,2
2020-08-28,16,9,5
2020-08-29,8,16,4
2020-08-30,5,17,2
2020-08-31,8,13,3
2020-09-01,3,14,0
2020-09-02,4,6,4
2020-09-03,4,9,2
2020-09-04,4,8,2
2020-09-05,3,10,5
2020-09-06,5,10,2
2020-09-07,2,10,6
2020-09-08,2,12,4
2020-09-09,3,8,2
2020-09-10,5,5,3
2020-09-11,3,8,2
2020-09-12,4,10,0
2020-09-13,3,12,3
2020-09-14,3,7,2
2020-09-15,5,8,2
2020-09-16,4,8,2
2020-09-17,2,11,3
2020-09-18,5,8,0
2020-09-19,3,10,5
2020-09-20,8,10,5
2020-09-21,3,11,3
2020-09-22,2,6,2
2020-09-23,2,8,4
2020-09-24,4,10,3
2020-09-25,0,7,0
2020-09-26,4,8,3
2020-09-27,3,15,2
2020-09-28,4,8,2
2020-09-29,4,7,3
2020-09-30,3,3,2
2020-10-01,5,6,2
2020-10-02,4,6,2
2020-10-03,3,7,3
2020-10-04,2,6,2
